PV_C HP_Heat_P OilBoilerHeat NgasBoilerHeat BiomassBoilerHeat AnlPV_P AnlImport AnlExport AnlOilBoilerFuel AnlNgasBoilerFuel AnlBiomassBoilerFuel AnlOilCost AnlLPGCost AnlBiomassCost AnlElecExchage TotalVariableCost FixedOperationalCost AdditionalCost InvestmentCost CO2Emission AnnualCost LoadFollowingCapacity
(KW) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (Mt) (KEuro)
6845 0.005611857163890204 4.1913204623820566E-4 1.9216781422889636E-4 26.043776842975642 11.52 1.84 13.06 5.23915057797757E-4 2.135197935876626E-4 37.205395489965206 0.0 0.0 2009.0 -573.0 1487.0 735.0 1783.0 386.4344453642364 -6.319 4391.434445364237 0.7163461538461539 
9701 1.1994841270247405E-4 1.892278017547316E-4 2.491193250737032E-4 26.04944170446047 16.32 1.34 17.37 2.3653475219341448E-4 2.7679925008189247E-4 37.21348814922924 0.0 0.0 2010.0 -829.0 1232.0 807.0 1783.0 1113.211882576205 -9.026 4935.2118825762045 0.8995192307692308 
5474 5.69492977326441E-4 5.424025358616556E-4 3.349550572789262E-4 26.048553149429537 9.21 2.14 11.05 6.780031698270694E-4 3.7217228586547353E-4 37.21221878489934 0.0 0.0 2009.0 -440.0 1621.0 701.0 1783.0 37.21188257620497 -5.020 4142.2118825762045 0.6341346153846155 
7637 0.0042737127346534195 7.884959782741488E-4 1.565126931835237E-4 26.044781278593888 12.85 1.69 14.24 9.85619972842686E-4 1.7390299242613742E-4 37.20683039799127 0.0 0.0 2009.0 -649.0 1412.0 755.0 1783.0 588.2578711701603 -7.069 4538.257871170161 0.7658653846153846 
8327 8.759871903367858E-4 2.7106631793114716E-4 1.3989155053118168E-4 26.0487130549412 14.01 1.57 15.28 3.388328974139339E-4 1.5543505614575741E-4 37.212447221344576 0.0 0.0 2009.0 -712.0 1349.0 773.0 1783.0 763.211882576205 -7.724 4668.2118825762045 0.8100961538461537 
7835 4.3897100696426453E-4 2.840382298659484E-4 2.679938330733175E-4 26.049008996930098 13.18 1.65 14.54 3.5504778733243546E-4 2.977709256370194E-4 37.212869995614426 0.0 0.0 2009.0 -667.0 1394.0 760.0 1783.0 638.211882576205 -7.258 4575.2118825762045 0.7783653846153845 
7140 0.0024052734638173854 7.455212942919412E-4 3.6135663721032147E-4 26.04648784860468 12.01 1.79 13.50 9.319016178649264E-4 4.0150737467813493E-4 37.20926835514955 0.0 0.0 2009.0 -602.0 1459.0 743.0 1783.0 461.25787117016034 -6.599 4446.257871170161 0.7350961538461538 
7881 8.942194402704225E-4 6.978362393540857E-4 3.2687463386993484E-4 26.048081069686507 13.26 1.65 14.61 8.72295299192607E-4 3.6319403763326093E-4 37.21154438526644 0.0 0.0 2009.0 -672.0 1389.0 761.0 1783.0 650.211882576205 -7.301 4583.2118825762045 0.7817307692307691 
7877 0.0035229931064771677 4.6424248962461767E-4 0.001135172811804217 26.044877591592094 13.25 1.65 14.60 5.80303112030772E-4 0.0012613031242269077 37.206967987988705 0.0 0.0 2009.0 -671.0 1390.0 761.0 1783.0 649.2578711701603 -7.297 4583.257871170161 0.78125 
6848 9.54794367877917E-4 1.1823536067721591E-4 2.3962979080960806E-4 26.048687340480637 11.52 1.84 13.07 1.477942008465199E-4 2.662553231217867E-4 37.21241048640091 0.0 0.0 2009.0 -574.0 1487.0 735.0 1783.0 387.21188257620497 -6.322 4392.2118825762045 0.7168269230769231 
8197 0.0027781486528424522 5.54997286357427E-4 3.16396970615656E-4 26.04635045709019 13.79 1.59 15.08 6.937466079467837E-4 3.5155218957295107E-4 37.209072081557416 0.0 0.0 2009.0 -700.0 1360.0 769.0 1783.0 730.2578711701603 -7.600 4642.257871170161 0.8014423076923077 
6487 0.006916793727261334 5.905863782113655E-4 2.3551641082873674E-4 26.0422571034837 10.91 1.92 12.53 7.382329727642068E-4 2.616849009208186E-4 37.203224433548144 0.0 0.0 2009.0 -539.0 1522.0 726.0 1783.0 295.4804339581918 -5.979 4326.4804339581915 0.6947115384615384 
7061 5.670402057168114E-4 1.50178579942654E-4 3.614748882366707E-4 26.048921306326104 11.88 1.80 13.38 1.877232249283175E-4 4.016387647074119E-4 37.212744723323006 0.0 0.0 2009.0 -594.0 1467.0 741.0 1783.0 441.21188257620497 -6.524 4432.2118825762045 0.7298076923076924 
6487 0.007190727637333792 2.392811845535016E-4 2.4484384400782214E-4 26.042325147334104 10.91 1.92 12.53 2.9910148069187695E-4 2.720487155642468E-4 37.203321639048724 0.0 0.0 2009.0 -539.0 1522.0 726.0 1783.0 295.4804339581918 -5.979 4326.4804339581915 0.6947115384615384 
9187 9.394626594407928E-4 3.467067114270861E-4 1.3728065362588466E-4 26.048576549975508 15.46 1.42 16.58 4.333833892838576E-4 1.5253405958431628E-4 37.212252214250725 0.0 0.0 2009.0 -787.0 1274.0 794.0 1783.0 982.211882576205 -8.539 4833.2118825762045 0.8653846153846153 
