CHP_Cap HP_Cap PV_Cap Boiler_Cap AnnualPV AnnualCHPelec AnnualCHPheat AnnualHPheat AnnualHPelec AnnualBiolerHeat AnnualImport AnnualExport OilConsumption BiomassConsumption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity 
KW KW KW KW GWh GWh GWh GWh GWh GWh KEuro KEuro GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro  
3957 1049 5379 12175.0 6.58 9.61 12.01 18.37 5.93 25.39 0.38 5.20 35.99 55.77 3217.0 2761.0 3011.0 -234.0 8841.0 739.0 2849.0 663.1925007111076 6.682 13068.192500711108 0.2043207616257781 
5847 1697 11851 10911.0 14.50 10.69 13.36 25.41 8.20 17.01 0.33 11.87 35.99 47.98 3217.0 2761.0 2591.0 -566.0 8091.0 941.0 3045.0 2527.1925007111076 2.821 14574.192500711108 0.44672281215671916 
5684 2126 12046 9581.0 14.74 11.25 14.07 27.28 8.80 14.43 0.33 12.07 35.99 46.18 3217.0 2761.0 2494.0 -573.0 7988.0 945.0 3096.0 2639.1925007111076 2.706 14632.192500711108 0.4540461369461736 
4664 949 8328 13230.0 10.19 8.71 10.88 16.90 5.45 28.00 0.35 8.34 35.99 56.76 3217.0 2761.0 3065.0 -408.0 8719.0 826.0 2810.0 1444.1925007111076 4.857 13780.192500711108 0.3181984621017942 
3480 1133 14874 12660.0 18.20 8.63 10.79 19.61 6.32 25.38 0.44 15.50 35.99 53.31 3217.0 2761.0 2879.0 -679.0 8261.0 968.0 2883.0 3078.1925007111076 0.804 15168.192500711108 0.5836689857195166 
5516 1532 14639 11423.0 17.92 10.02 12.53 24.10 7.77 19.15 0.32 15.03 35.99 49.00 3217.0 2761.0 2646.0 -670.0 8041.0 1003.0 3009.0 3193.1925007111076 1.003 15219.192500711108 0.5620651775906261 
3758 1530 5328 10471.0 6.52 11.15 13.94 24.03 7.75 17.81 0.56 5.03 35.99 50.14 3217.0 2761.0 2708.0 -212.0 8564.0 736.0 3006.0 716.1925007111076 6.882 12990.192500711108 0.20468692786525083 
5287 2908 6103 7004.0 7.47 12.23 15.29 27.43 8.85 13.05 0.37 5.77 35.99 46.90 3217.0 2761.0 2533.0 -267.0 8336.0 793.0 3100.0 1231.1925007111076 6.345 13413.192500711108 0.22482607103625046 
5337 1395 12489 11847.0 15.28 9.82 12.28 22.74 7.34 20.76 0.33 12.65 35.99 50.50 3217.0 2761.0 2727.0 -595.0 8196.0 945.0 2970.0 2613.1925007111076 2.377 14699.192500711108 0.4752837788355914 
5787 1287 15000 12182.0 18.36 9.26 11.57 21.54 6.95 22.66 0.32 15.53 35.99 51.47 3217.0 2761.0 2780.0 -687.0 8156.0 1016.0 2938.0 3258.1925007111076 0.715 15344.192500711108 0.5803734895642622 
5283 3139 10259 7844.0 12.56 11.53 14.41 27.47 8.86 13.90 0.34 10.11 35.99 46.19 3217.0 2761.0 2494.0 -493.0 8070.0 898.0 3102.0 2344.1925007111076 3.840 14371.192500711108 0.382643720248993 
