CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
72 0 82 1496 1387 579 196 0.01 0.01 0.00 0.00 0.69 2.25 0.05 0.08 0.00 1.29 -0.563 5711 
1 47 226 358 333 42 30 0.00 0.00 0.52 0.17 0.73 1.26 0.03 0.00 0.00 0.76 -0.257 3461 
4 0 143 739 468 206 200 0.00 0.00 0.00 0.04 0.91 1.64 0.08 0.23 0.00 1.08 -0.457 4006 
66 0 84 1494 681 550 196 0.01 0.02 0.00 0.00 0.97 1.89 0.07 0.11 0.00 1.25 -0.546 4960 
0 45 244 22 397 32 35 0.00 0.00 0.52 0.41 0.05 1.51 0.02 0.00 0.00 0.56 -0.066 3277 
33 0 94 1448 499 152 196 0.01 0.01 0.00 0.01 1.13 1.68 0.04 0.14 0.00 1.21 -0.523 4548 
74 0 83 1491 1275 733 196 0.01 0.01 0.00 0.00 0.72 2.21 0.06 0.08 0.00 1.29 -0.562 5654 
25 0 102 1475 524 221 196 0.01 0.01 0.00 0.01 1.11 1.71 0.05 0.14 0.00 1.22 -0.528 4611 
37 0 84 1486 703 313 196 0.01 0.01 0.00 0.01 0.96 1.91 0.05 0.11 0.00 1.25 -0.542 4852 
3 43 191 637 371 119 45 0.00 0.00 0.52 0.07 0.90 1.37 0.06 0.00 0.00 0.97 -0.392 3738 
3 2 147 811 333 231 193 0.00 0.00 0.05 0.04 1.17 1.26 0.10 0.24 0.00 1.05 -0.440 3929 
73 0 83 1485 756 526 196 0.01 0.02 0.00 0.00 0.92 1.95 0.06 0.10 0.00 1.26 -0.548 5028 
4 0 139 739 468 301 200 0.00 0.00 0.00 0.04 0.91 1.63 0.10 0.22 0.00 1.09 -0.462 4043 
72 0 82 1496 1387 579 196 0.01 0.01 0.00 0.00 0.69 2.25 0.05 0.08 0.00 1.29 -0.563 5711 
74 0 83 1491 1275 733 196 0.01 0.01 0.00 0.00 0.72 2.21 0.06 0.08 0.00 1.29 -0.562 5654 
4 0 139 739 468 301 200 0.00 0.00 0.00 0.04 0.91 1.63 0.10 0.22 0.00 1.09 -0.462 4043 
3 43 191 637 371 119 45 0.00 0.00 0.52 0.07 0.90 1.37 0.06 0.00 0.00 0.97 -0.392 3738 
150 0 82 1498 1426 833 196 0.01 0.01 0.00 0.00 0.69 2.26 0.06 0.07 0.00 1.29 -0.565 5865 
3 57 261 15 9 7 5 0.01 0.02 0.51 1.33 0.04 0.03 0.00 0.00 0.00 0.00 0.581 2867 
1 57 240 85 273 3 1 0.00 0.00 0.52 0.51 0.21 1.05 0.00 0.00 0.00 0.34 0.073 3184 
0 51 228 252 352 5 16 0.00 0.00 0.52 0.22 0.55 1.33 0.00 0.00 0.00 0.67 -0.197 3387 
3 60 240 71 247 3 0 0.01 0.01 0.51 0.55 0.18 0.95 0.00 0.00 0.00 0.26 0.127 3153 
3 61 236 72 327 3 0 0.01 0.01 0.52 0.45 0.18 1.25 0.00 0.00 0.00 0.46 -0.007 3237 
2 64 238 78 304 5 0 0.00 0.01 0.52 0.48 0.20 1.16 0.00 0.00 0.00 0.42 0.026 3217 
3 60 225 318 325 5 0 0.00 0.01 0.52 0.20 0.69 1.24 0.00 0.00 0.00 0.70 -0.219 3413 
0 57 249 29 128 7 7 0.00 0.00 0.52 0.88 0.07 0.49 0.00 0.00 0.00 0.02 0.377 2991 
3 0 146 568 391 289 204 0.00 0.00 0.00 0.05 0.89 1.45 0.12 0.30 0.00 1.01 -0.420 3848 
3 61 236 123 188 4 0 0.01 0.01 0.51 0.56 0.31 0.72 0.00 0.00 0.00 0.17 0.168 3130 
28 64 203 444 308 5 0 0.03 0.04 0.50 0.11 0.88 1.17 0.00 0.00 0.00 0.79 -0.295 3527 
3 68 248 66 4 4 0 0.01 0.02 0.51 1.22 0.17 0.02 0.00 0.00 0.00 0.00 0.534 2901 
3 57 240 71 205 3 0 0.01 0.01 0.51 0.61 0.18 0.78 0.00 0.00 0.00 0.15 0.197 3108 
5 0 143 734 516 4 200 0.00 0.01 0.00 0.04 0.87 1.73 0.00 0.22 0.00 1.06 -0.446 3971 
3 4 150 733 376 232 186 0.00 0.00 0.10 0.05 1.03 1.40 0.10 0.21 0.00 1.05 -0.437 3911 
3 51 228 94 383 4 26 0.01 0.01 0.52 0.33 0.22 1.45 0.00 0.00 0.00 0.58 -0.111 3311 
1 61 241 85 190 3 0 0.00 0.00 0.52 0.62 0.21 0.73 0.00 0.00 0.00 0.14 0.211 3098 
0 51 239 154 128 7 14 0.00 0.00 0.52 0.65 0.39 0.49 0.00 0.00 0.00 0.10 0.240 3081 
0 54 243 76 125 8 17 0.00 0.00 0.52 0.79 0.19 0.48 0.01 0.00 0.00 0.03 0.330 3022 
0 57 241 42 364 4 3 0.00 0.00 0.52 0.44 0.11 1.39 0.00 0.00 0.00 0.51 -0.030 3246 
3 60 228 147 326 5 0 0.01 0.01 0.52 0.34 0.36 1.25 0.00 0.00 0.00 0.53 -0.083 3291 
30 0 98 1112 524 288 196 0.01 0.02 0.00 0.01 1.01 1.72 0.07 0.16 0.00 1.18 -0.510 4385 
3 55 242 66 22 4 12 0.01 0.02 0.51 1.15 0.17 0.08 0.00 0.00 0.00 0.00 0.504 2917 
62 0 84 1498 490 378 196 0.01 0.02 0.00 0.00 1.14 1.66 0.07 0.13 0.00 1.23 -0.533 4695 
3 57 240 71 157 3 0 0.01 0.01 0.51 0.70 0.18 0.60 0.00 0.00 0.00 0.07 0.276 3058 
393 0 83 1498 894 436 196 0.01 0.02 0.00 0.00 0.85 2.04 0.05 0.10 0.00 1.27 -0.552 5154 
2 52 226 462 295 10 11 0.00 0.00 0.52 0.15 0.93 1.13 0.01 0.00 0.00 0.78 -0.276 3485 
0 51 245 142 17 0 28 0.00 0.00 0.52 1.01 0.36 0.07 0.00 0.00 0.00 0.01 0.441 2954 
0 57 234 74 364 3 3 0.00 0.00 0.52 0.40 0.18 1.39 0.00 0.00 0.00 0.54 -0.062 3269 
0 51 206 500 352 4 16 0.00 0.00 0.52 0.12 0.86 1.32 0.00 0.00 0.00 0.87 -0.326 3567 
1 51 229 240 308 1 11 0.00 0.00 0.52 0.28 0.57 1.18 0.00 0.00 0.00 0.60 -0.141 3332 
1 53 241 51 313 7 20 0.00 0.00 0.52 0.51 0.13 1.20 0.00 0.00 0.00 0.41 0.042 3203 
4 57 240 77 29 7 4 0.02 0.03 0.50 1.09 0.19 0.11 0.00 0.00 0.00 0.00 0.475 2937 
4 62 250 17 25 5 0 0.02 0.03 0.50 1.26 0.04 0.10 0.00 0.00 0.00 0.00 0.549 2889 
30 0 98 1182 514 328 196 0.01 0.01 0.00 0.01 1.04 1.70 0.07 0.15 0.00 1.19 -0.515 4440 
4 57 240 77 29 44 4 0.02 0.03 0.50 1.06 0.19 0.11 0.03 0.00 0.00 0.00 0.464 2952 
27 0 101 1110 526 160 196 0.01 0.01 0.00 0.01 1.01 1.72 0.04 0.16 0.00 1.17 -0.504 4331 
3 57 238 71 288 3 1 0.01 0.01 0.51 0.50 0.18 1.10 0.00 0.00 0.00 0.37 0.059 3194 
4 57 240 71 22 3 4 0.02 0.03 0.50 1.13 0.18 0.08 0.00 0.00 0.00 0.00 0.495 2924 
0 54 243 75 139 4 17 0.00 0.00 0.52 0.76 0.19 0.53 0.00 0.00 0.00 0.05 0.309 3035 
1 46 228 240 278 1 34 0.00 0.00 0.52 0.31 0.59 1.06 0.00 0.00 0.00 0.54 -0.099 3301 
27 0 102 1027 369 230 196 0.01 0.02 0.00 0.02 1.21 1.38 0.08 0.21 0.00 1.12 -0.481 4147 
41 0 84 1492 638 383 196 0.01 0.01 0.00 0.01 1.00 1.85 0.06 0.12 0.00 1.24 -0.541 4822 
398 0 82 1499 1136 614 196 0.01 0.01 0.00 0.00 0.76 2.16 0.06 0.08 0.00 1.28 -0.559 5476 
4 66 239 72 139 8 0 0.01 0.02 0.51 0.74 0.18 0.53 0.01 0.00 0.00 0.05 0.300 3049 
98 0 82 1498 1419 655 196 0.01 0.01 0.00 0.00 0.69 2.26 0.05 0.08 0.00 1.29 -0.564 5786 
4 57 252 12 106 4 4 0.02 0.03 0.50 0.96 0.03 0.41 0.00 0.00 0.00 0.00 0.419 2969 
4 57 252 4 288 1 2 0.01 0.02 0.51 0.60 0.01 1.10 0.00 0.00 0.00 0.30 0.131 3148 
3 57 240 66 69 6 5 0.01 0.02 0.51 0.97 0.17 0.26 0.00 0.00 0.00 0.00 0.425 2967 
27 0 102 923 369 230 196 0.01 0.02 0.00 0.02 1.17 1.38 0.08 0.22 0.00 1.10 -0.470 4074 
30 0 100 741 514 299 200 0.01 0.02 0.00 0.02 0.86 1.71 0.09 0.20 0.00 1.11 -0.475 4120 
27 0 102 1039 392 307 196 0.01 0.02 0.00 0.02 1.16 1.45 0.09 0.20 0.00 1.14 -0.489 4207 
4 4 190 729 376 8 186 0.00 0.00 0.10 0.06 1.05 1.41 0.00 0.22 0.00 1.00 -0.412 3820 
3 61 192 633 371 4 0 0.00 0.00 0.52 0.08 0.91 1.37 0.00 0.00 0.00 0.94 -0.375 3690 
30 0 98 1182 514 310 196 0.01 0.01 0.00 0.01 1.04 1.70 0.07 0.15 0.00 1.19 -0.514 4433 
4 59 238 32 379 0 0 0.01 0.01 0.51 0.42 0.08 1.45 0.00 0.00 0.00 0.53 -0.048 3263 
0 57 254 13 214 3 7 0.00 0.00 0.52 0.70 0.03 0.82 0.00 0.00 0.00 0.12 0.252 3068 
98 0 82 1498 1419 655 196 0.01 0.01 0.00 0.00 0.69 2.26 0.05 0.08 0.00 1.29 -0.564 5786 
4 0 178 564 391 176 206 0.00 0.00 0.00 0.05 0.90 1.46 0.08 0.30 0.00 0.99 -0.410 3803 
4 57 252 4 277 1 1 0.01 0.02 0.51 0.61 0.01 1.06 0.00 0.00 0.00 0.27 0.149 3136 
