PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
14612;3964;1410;13;111;11928;2391;1813;256.0;15.65;17.59;4.38;0.43;0.03;0.23;24.71;12.31;14.02;10.34;12.56;23.45;32.94;35.44;1964.0;1797.0;1153.0;101.0;8084.0;1131.0;5204.0;430;3764.0;12.623;18446.0;0.47;0.53;0.033055903973481446;0.2556867416366276;32.94188516360611;12.31;14.02;9.91;13.51;
11443;2801;1881;8;84;11445;1101;834;2525.0;12.26;12.43;5.84;4.20;0.02;0.17;23.71;8.7;18.7;18.73;7.15;10.79;31.61;25.05;904.0;827.0;1106.0;918.0;5930.0;934.0;5762.0;4245;6769.0;11.941;21991.0;0.48;0.42;0.02122230570710148;0.19285180504273453;31.607974090575635;8.7;18.7;4.56;6.21;
14537;2748;1813;23;165;11756;2522;1912;26.0;15.57;12.20;5.63;0.04;0.05;0.34;24.35;8.54;18.02;14.56;10.44;24.76;32.47;24.77;2075.0;1895.0;1136.0;501.0;7758.0;995.0;5296.0;44;3016.0;12.978;17092.0;0.5;0.49;0.060754163598639235;0.3798596942048621;32.46617422951401;8.54;18.02;10.45;14.25;
7939;3079;1673;71;768;11280;2423;1837;200.0;8.51;13.67;5.20;0.33;0.15;1.59;23.36;9.57;16.63;14.65;5.07;23.91;31.15;29.10;2012.0;1820.0;1090.0;795.0;8241.0;901.0;5283.0;336;2376.0;15.521;17007.0;0.4;0.52;0.18383252146395723;1.7678502144562627;31.15167247243328;9.57;16.63;10.04;13.69;
10644;3115;1679;74;94;11870;17;13;4430.0;11.40;13.82;5.22;7.37;0.15;0.19;24.59;9.68;16.69;20.23;6.65;0.36;32.78;27.87;42.0;13.0;1147.0;1016.0;4636.0;958.0;6031.0;7447;9939.0;10.468;26118.0;0.47;0.37;0.19104879407106964;0.21605093617262394;32.78305668917825;9.68;16.69;.07;.1;
12756;4938;1720;26;32;9045;261;198;4001.0;13.67;21.92;5.34;6.66;0.05;0.07;18.74;15.34;17.1;13.14;10.51;2.63;24.98;43.91;224.0;196.0;874.0;350.0;5442.0;1169.0;5969.0;6726;10052.0;10.562;26745.0;0.42;0.46;0.06709907803990184;0.07399862481398482;24.980355012202434;15.34;17.1;1.08;1.48;
13836;2862;2221;8;321;9486;1632;1237;1591.0;14.82;12.70;6.90;2.65;0.02;0.67;19.65;8.89;22.08;17.51;9.27;16.00;26.20;26.14;1340.0;1226.0;917.0;736.0;6488.0;970.0;5708.0;2674;5558.0;12.380;20359.0;0.5;0.46;0.020727451572760652;0.7395548545603348;26.19680224664019;8.89;22.08;6.76;9.22;
13867;1899;2265;1;413;10631;1793;1359;1308.0;14.86;8.43;7.04;2.18;0.0;0.85;22.02;5.9;22.52;20.85;8.70;17.56;29.36;17.81;1469.0;1347.0;1027.0;985.0;6381.0;878.0;5674.0;2199;4813.0;12.437;19091.0;0.55;0.43;0.0019911063974279376;0.9498324173262656;29.36050016568807;5.9;22.52;7.43;10.13;
14559;1026;2373;188;226;11425;86;65;4309.0;15.60;4.55;7.37;7.17;0.39;0.47;23.66;3.19;23.59;29.48;8.87;1.33;31.55;9.63;140.0;65.0;1104.0;1485.0;3644.0;805.0;6239.0;7243;9714.0;9.425;24831.0;0.65;0.31;0.48581424379928184;0.5209236850035347;31.553056868350286;3.19;23.59;.36;.48;
14463;3490;1595;31;199;11644;14;10;4436.0;15.49;15.49;4.96;7.38;0.06;0.41;24.12;10.84;15.86;17.99;10.42;0.21;32.16;31.44;22.0;11.0;1125.0;666.0;4550.0;1074.0;6004.0;7457;10627.0;9.085;26815.0;0.5;0.38;0.07984579823397013;0.4587071259315133;32.15905624611419;10.84;15.86;.06;.07;
13646;1431;2191;28;212;11862;1851;1403;1206.0;14.62;6.35;6.81;2.01;0.06;0.44;24.57;4.45;21.79;22.37;8.31;18.19;32.76;13.19;1526.0;1391.0;1146.0;1104.0;6323.0;834.0;5630.0;2027;4487.0;12.320;18514.0;0.58;0.41;0.07158497700234465;0.48801889835040524;32.75977483794342;4.45;21.79;7.67;10.45;
6746;1882;2256;147;203;10764;1723;1306;1431.0;7.23;8.35;7.01;2.38;0.3;0.42;22.3;5.85;22.43;22.96;2.93;17.25;29.73;17.17;1466.0;1294.0;1040.0;1428.0;6727.0;735.0;5692.0;2406;3947.0;14.945;18572.0;0.48;0.44;0.3802679048360078;0.4665082002654539;29.726770526132654;5.85;22.43;7.14;9.73;
7060;374;2640;7;112;11414;2532;1919;9.0;7.56;1.66;8.20;0.02;0.02;0.23;23.64;1.16;26.25;28.02;2.81;24.81;31.52;3.58;2076.0;1902.0;1103.0;1771.0;7182.0;580.0;5566.0;15;1187.0;15.943;14524.0;0.59;0.43;0.01931765214338352;0.25879192487950403;31.521838627673585;1.16;26.25;10.49;14.3;
