PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;
13101;3540;1359;35;767;12130;1400;1061;1999.0;14.04;15.71;4.22;3.33;0.07;1.59;25.12;11.0;13.52;12.68;8.66;13.80;33.50;33.19;1160.0;1052.0;1172.0;478.0;6737.0;1064.0;5496.0;3360;6313.0;11.784;21665.0;0.45;0.46;
6497;5143;1287;1;224;10649;493;374;3593.0;6.96;22.83;4.00;5.98;0.0;0.46;22.06;15.98;12.8;12.50;6.09;4.83;29.41;46.17;405.0;370.0;1029.0;576.0;6372.0;1085.0;5755.0;6040;8481.0;12.904;25386.0;0.37;0.49;
6281;2156;1785;54;869;12043;56;43;4361.0;6.73;9.57;5.55;7.25;0.11;1.8;24.95;6.7;17.74;23.98;1.26;0.69;33.26;21.14;67.0;42.0;1164.0;1594.0;4706.0;776.0;6054.0;7331;8857.0;12.337;24876.0;0.49;0.35;
13804;3813;1414;33;532;11694;1801;1365;1294.0;14.79;16.92;4.39;2.15;0.07;1.1;24.22;11.85;14.06;11.41;10.35;17.72;32.30;35.07;1487.0;1352.0;1130.0;299.0;7306.0;1100.0;5390.0;2175;5322.0;12.172;20448.0;0.47;0.49;
7761;1871;2035;55;255;11882;543;411;3506.0;8.31;8.30;6.32;5.83;0.11;0.53;24.61;5.81;20.23;23.74;1.98;5.45;32.81;17.19;464.0;408.0;1148.0;1547.0;5068.0;766.0;5985.0;5894;7590.0;12.449;23013.0;0.51;0.35;
9823;322;2491;41;993;11295;1793;1359;1308.0;10.52;1.43;7.74;2.18;0.09;2.06;23.4;1.0;24.76;28.07;3.89;17.67;31.19;5.14;1484.0;1347.0;1092.0;1721.0;6108.0;638.0;5747.0;2199;3725.0;14.031;17563.0;0.69;0.39;
13079;1794;2075;45;160;11911;1400;1061;1999.0;14.01;7.96;6.45;3.33;0.09;0.33;24.67;5.57;20.63;20.58;6.56;13.83;32.90;16.29;1164.0;1052.0;1151.0;1104.0;5893.0;863.0;5732.0;3360;5840.0;11.792;20383.0;0.57;0.39;
9549;2840;1678;41;900;11511;128;97;4235.0;10.23;12.61;5.21;7.04;0.08;1.86;23.84;8.82;16.69;18.98;3.34;1.36;31.79;27.28;120.0;96.0;1112.0;1174.0;4870.0;911.0;5997.0;7119;9329.0;11.323;25460.0;0.44;0.36;
12924;388;2414;368;361;11867;567;430;3463.0;13.85;1.72;7.50;5.76;0.76;0.75;24.58;1.21;24.0;28.68;4.76;6.50;32.77;4.28;602.0;426.0;1147.0;1718.0;4283.0;711.0;6104.0;5821;7850.0;10.832;22508.0;0.67;0.3;
14099;3944;1360;328;392;11602;36;28;4396.0;15.10;17.50;4.23;7.31;0.68;0.81;24.03;12.25;13.53;13.40;8.25;1.21;32.04;35.91;153.0;27.0;1121.0;547.0;4959.0;1121.0;5919.0;7390;10610.0;9.425;27128.0;0.42;0.39;
13814;2285;2127;33;1038;10057;1805;1368;1287.0;14.80;10.14;6.61;2.14;0.07;2.15;20.83;7.1;21.15;18.08;8.05;17.75;27.77;22.68;1490.0;1356.0;972.0;862.0;6651.0;921.0;5624.0;2163;4845.0;12.749;19364.0;0.56;0.45;
10659;2286;2367;79;638;9260;2168;1643;649.0;11.42;10.15;7.35;1.08;0.16;1.32;19.18;7.1;23.53;18.90;5.81;21.43;25.57;21.76;1805.0;1628.0;895.0;1034.0;7254.0;845.0;5591.0;1091;3313.0;14.581;17670.0;0.55;0.48;
5858;3980;1291;7;1025;11568;1549;1174;1737.0;6.28;17.67;4.01;2.89;0.01;2.12;23.96;12.37;12.83;13.36;4.18;15.19;31.95;37.69;1272.0;1164.0;1118.0;752.0;7568.0;963.0;5428.0;2920;4896.0;14.847;20641.0;0.37;0.51;
14355;4748;1114;6;153;12138;281;213;3966.0;15.38;21.07;3.46;6.60;0.01;0.32;25.14;14.75;11.08;10.79;10.96;2.76;33.52;42.50;233.0;210.0;1173.0;217.0;5509.0;1215.0;5763.0;6667;10185.0;9.341;26749.0;0.43;0.43;
10376;604;2515;33;703;11054;2497;1893;70.0;11.12;2.68;7.81;0.12;0.07;1.46;22.9;1.88;25.0;25.58;5.23;24.54;30.53;6.98;2057.0;1876.0;1068.0;1489.0;7113.0;674.0;5537.0;118;1822.0;14.887;15218.0;0.7;0.44;
13045;3995;1533;231;624;10561;1344;1019;2097.0;13.98;17.73;4.76;3.49;0.48;1.29;21.87;12.41;15.24;11.89;9.13;13.76;29.17;36.90;1187.0;1010.0;1021.0;398.0;6811.0;1096.0;5571.0;3525;6591.0;12.097;22225.0;0.44;0.48;
6416;998;2326;23;170;11911;28;22;4410.0;6.87;4.43;7.23;7.34;0.05;0.35;24.67;3.1;23.13;30.28;0.80;0.34;32.90;9.25;32.0;22.0;1151.0;2019.0;4040.0;642.0;6241.0;7413;8664.0;12.151;24120.0;0.6;0.31;
14251;922;2308;2;621;11682;2022;1533;905.0;15.27;4.09;7.17;1.51;0.0;1.29;24.2;2.87;22.95;23.45;7.91;19.80;32.26;9.62;1657.0;1519.0;1129.0;1211.0;6364.0;793.0;5616.0;1521;3907.0;12.521;17610.0;0.69;0.4;
13092;2180;2020;65;80;11656;8;6;4446.0;14.03;9.68;6.28;7.40;0.13;0.17;24.14;6.77;20.08;21.25;5.06;0.24;32.19;19.54;30.0;5.0;1126.0;1232.0;4095.0;902.0;6148.0;7474;10068.0;9.637;25783.0;0.51;0.31;
14004;1197;2305;40;909;10959;1273;965;2222.0;15.00;5.31;7.16;3.70;0.08;1.88;22.7;3.72;22.92;23.53;6.77;12.57;30.27;12.72;1058.0;957.0;1059.0;1282.0;5471.0;813.0;5847.0;3735;6143.0;11.680;20558.0;0.63;0.37;
11728;4933;1262;25;204;11079;2279;1728;453.0;12.56;21.89;3.92;0.75;0.05;0.42;22.95;15.33;12.55;8.63;12.19;22.39;30.60;44.26;1877.0;1711.0;1071.0;-2.0;8485.0;1171.0;5190.0;761;3930.0;13.679;19242.0;0.46;0.58;
11545;3138;1617;14;93;12194;22;17;4421.0;12.37;13.93;5.02;7.35;0.03;0.19;25.26;9.75;16.07;17.14;4.84;0.26;33.68;28.07;24.0;16.0;1178.0;977.0;4632.0;982.0;6010.0;7432;10070.0;10.041;26239.0;0.43;0.35;
13103;3804;1411;358;118;11809;254;193;4013.0;14.04;16.89;4.39;6.68;0.74;0.25;24.46;11.82;14.03;13.77;7.42;3.42;32.61;34.04;343.0;190.0;1141.0;617.0;5241.0;1086.0;5869.0;6746;9789.0;10.040;26110.0;0.42;0.39;
11789;4612;1401;25;600;10497;384;291;3785.0;12.63;20.47;4.35;6.30;0.05;1.24;21.74;14.33;13.93;11.94;8.17;3.83;28.99;42.32;324.0;288.0;1014.0;447.0;5735.0;1135.0;5826.0;6363;9427.0;10.944;26014.0;0.4;0.44;
9758;4355;1384;3;366;11224;33;25;4402.0;10.45;19.33;4.30;7.32;0.01;0.76;23.25;13.53;13.76;13.80;5.74;0.34;31.00;39.50;29.0;25.0;1085.0;699.0;5257.0;1072.0;5929.0;7400;10101.0;10.933;26884.0;0.38;0.41;
14028;3632;1461;16;509;11783;2155;1633;672.0;15.03;16.12;4.54;1.12;0.03;1.05;24.41;11.28;14.52;11.50;10.77;21.14;32.54;33.41;1771.0;1619.0;1139.0;282.0;7706.0;1086.0;5295.0;1130;4261.0;12.620;19039.0;0.49;0.51;
10174;287;2724;0;753;10506;208;158;4094.0;10.90;1.27;8.46;6.81;0.0;1.56;21.76;0.89;27.09;31.85;2.53;2.04;29.01;4.28;171.0;156.0;1015.0;2036.0;3768.0;630.0;6317.0;6882;8463.0;11.528;23386.0;0.67;0.29;
12712;744;2370;56;561;11656;2277;1726;457.0;13.62;3.30;7.36;0.76;0.12;1.16;24.14;2.31;23.57;24.32;6.90;22.45;32.19;7.90;1886.0;1711.0;1126.0;1320.0;6745.0;742.0;5557.0;768;2872.0;13.515;16386.0;0.69;0.42;
13981;3942;1361;74;26;12221;2524;1913;23.0;14.98;17.49;4.23;0.04;0.15;0.05;25.31;12.25;13.53;10.17;12.15;24.90;33.75;35.05;2094.0;1896.0;1181.0;114.0;8322.0;1119.0;5148.0;39;3273.0;13.004;17886.0;0.5;0.54;
14053;482;2446;3;873;11429;2408;1825;227.0;15.05;2.14;7.60;0.38;0.01;1.81;23.67;1.5;24.31;25.11;8.10;23.59;31.57;6.29;1973.0;1809.0;1105.0;1304.0;6753.0;740.0;5542.0;382;2599.0;13.341;15867.0;0.75;0.42;
12771;4323;1357;368;83;11320;238;180;4042.0;13.68;19.19;4.22;6.72;0.76;0.17;23.45;13.43;13.49;12.49;8.20;3.28;31.26;38.56;332.0;179.0;1094.0;485.0;5429.0;1130.0;5857.0;6795;9936.0;10.214;26507.0;0.41;0.42;
12865;3988;1154;438;745;12064;547;414;3499.0;13.78;17.70;3.58;5.82;0.91;1.54;24.99;12.39;11.47;12.44;8.30;6.48;33.32;37.11;611.0;412.0;1166.0;479.0;5880.0;1112.0;5693.0;5882;8908.0;10.707;25190.0;0.41;0.43;
5687;102;2470;30;704;12023;1412;1070;1978.0;6.09;0.45;7.68;3.29;0.06;1.46;24.9;0.32;24.56;31.74;1.10;13.90;33.21;2.52;1167.0;1061.0;1162.0;2095.0;5723.0;536.0;5859.0;3325;4184.0;14.736;18335.0;0.69;0.37;
13561;4677;1247;105;671;10989;480;364;3616.0;14.53;20.76;3.88;6.02;0.22;1.39;22.76;14.53;12.4;11.00;10.17;4.97;30.35;43.06;433.0;361.0;1062.0;275.0;5855.0;1185.0;5746.0;6078;9422.0;10.379;25925.0;0.42;0.45;
12924;1333;2176;44;1079;11199;2493;1890;77.0;13.85;5.92;6.76;0.13;0.09;2.24;23.2;4.14;21.63;21.05;7.71;24.52;30.93;14.32;2058.0;1873.0;1082.0;1068.0;7334.0;811.0;5426.0;129;2406.0;13.964;16056.0;0.65;0.46;
6130;2701;1699;237;521;11804;2186;1657;617.0;6.57;11.99;5.28;1.03;0.49;1.08;24.45;8.39;16.89;17.03;3.06;22.02;32.60;25.17;1880.0;1643.0;1141.0;1058.0;7907.0;828.0;5365.0;1037;2703.0;15.739;17437.0;0.44;0.49;
9472;140;2508;38;308;12171;2485;1884;91.0;10.15;0.62;7.79;0.15;0.08;0.64;25.21;0.44;24.94;27.81;4.41;24.44;33.61;1.95;2050.0;1867.0;1176.0;1674.0;6957.0;613.0;5539.0;153;1612.0;14.886;14815.0;0.73;0.41;
