PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;
5565;2;2613;0;0;12224;2537;1923;0.0;5.96;0.01;8.12;0.00;0.0;0.0;25.32;0.0;25.98;30.21;1.85;24.84;33.76;0.01;2078.0;1905.0;1181.0;1959.0;7146.0;517.0;5556.0;0;849.0;16.311;14068.0;0.61;0.42;0.0;0.0;33.75869884908592;10.513819032258064;14.328251868131867;
5565;0;3516;0;2;7887;2537;1923;0.0;5.96;0.00;10.92;0.00;0.0;0.0;16.34;0.0;34.96;32.96;1.78;24.84;21.78;0.00;2078.0;1905.0;762.0;2135.0;6902.0;469.0;5854.0;0;835.0;17.281;14060.0;0.63;0.44;0.0;0.0037992278806379303;21.782936493994907;10.513819032258064;14.328251868131867;
8736;4;2629;0;2;12138;2537;1923;0.0;9.36;0.02;8.17;0.00;0.0;0.0;25.14;0.01;26.14;28.91;3.89;24.84;33.52;0.04;2078.0;1905.0;1173.0;1770.0;6952.0;580.0;5563.0;0;1326.0;15.159;14421.0;0.63;0.41;4.542367791600163E-4;0.0042121156367022515;33.521712018570234;10.513819032258064;14.328251868131867;
5567;0;3263;0;2;9101;2537;1923;0.0;5.96;0.00;10.14;0.00;0.0;0.0;18.85;0.0;32.44;32.19;1.80;24.84;25.13;0.01;2078.0;1905.0;879.0;2086.0;6970.0;483.0;5770.0;0;838.0;17.009;14061.0;0.63;0.44;0.0;0.004552493004470845;25.133595680444813;10.513819032258064;14.328251868131867;
5930;3;2607;0;1;12248;2537;1923;0.0;6.35;0.01;8.10;0.00;0.0;0.0;25.37;0.01;25.92;30.01;2.05;24.84;33.82;0.03;2078.0;1905.0;1184.0;1935.0;7126.0;524.0;5555.0;0;904.0;16.171;14109.0;0.61;0.42;0.0;0.0022629801962684394;33.824459782568745;10.513819032258064;14.328251868131867;
5567;0;3365;0;2;8611;2537;1923;0.0;5.96;0.00;10.46;0.00;0.0;0.01;17.84;0.0;33.46;32.50;1.79;24.84;23.78;0.01;2078.0;1905.0;832.0;2105.0;6943.0;477.0;5804.0;0;836.0;17.118;14060.0;0.63;0.44;0.0;0.00574318739701118;23.781252839509847;10.513819032258064;14.328251868131867;
5565;1;2607;0;1;12250;2537;1923;0.0;5.96;0.00;8.10;0.00;0.0;0.0;25.37;0.0;25.92;30.20;1.85;24.84;33.83;0.01;2078.0;1905.0;1184.0;1958.0;7147.0;517.0;5554.0;0;849.0;16.306;14067.0;0.61;0.42;0.0;0.002558544523555457;33.83005856786681;10.513819032258064;14.328251868131867;
5679;3;2611;0;0;12228;2537;1923;0.0;6.08;0.01;8.11;0.00;0.0;0.0;25.33;0.01;25.96;30.15;1.91;24.84;33.77;0.02;2078.0;1905.0;1182.0;1951.0;7140.0;519.0;5556.0;0;867.0;16.268;14082.0;0.61;0.42;0.0;7.74397929573624E-4;33.76988656176105;10.513819032258064;14.328251868131867;
5768;0;2621;0;0;12185;2537;1923;0.0;6.18;0.00;8.14;0.00;0.0;0.0;25.24;0.0;26.06;30.14;1.96;24.84;33.65;0.00;2078.0;1905.0;1178.0;1949.0;7131.0;520.0;5559.0;0;879.0;16.245;14089.0;0.61;0.42;0.0;0.0;33.65099531861275;10.513819032258064;14.328251868131867;
5568;0;3162;0;3;9586;2537;1923;0.0;5.96;0.00;9.82;0.00;0.0;0.01;19.86;0.0;31.44;31.88;1.81;24.84;26.47;0.01;2078.0;1905.0;926.0;2066.0;6998.0;488.0;5736.0;0;840.0;16.900;14062.0;0.62;0.43;1.9462258438857584E-4;0.00711010525600075;26.47472688254874;10.513819032258064;14.328251868131867;
5565;1;2945;0;2;10628;2537;1923;0.0;5.96;0.00;9.15;0.00;0.0;0.0;22.01;0.0;29.28;31.22;1.82;24.84;29.35;0.01;2078.0;1905.0;1027.0;2024.0;7056.0;499.0;5665.0;0;843.0;16.668;14063.0;0.62;0.43;0.0;0.004414136983450652;29.351952106872744;10.513819032258064;14.328251868131867;
5565;0;2629;0;1;12148;2537;1923;0.0;5.96;0.00;8.17;0.00;0.0;0.0;25.16;0.0;26.14;30.27;1.84;24.84;33.55;0.00;2078.0;1905.0;1174.0;1962.0;7141.0;516.0;5562.0;0;848.0;16.329;14067.0;0.61;0.42;1.828556822485771E-4;0.0014178438387727965;33.54925881191427;10.513819032258064;14.328251868131867;
5565;0;3290;0;0;8976;2537;1923;0.0;5.96;0.00;10.22;0.00;0.0;0.0;18.59;0.0;32.71;32.27;1.80;24.84;24.79;0.00;2078.0;1905.0;867.0;2091.0;6963.0;481.0;5779.0;0;838.0;17.037;14061.0;0.63;0.44;0.0;0.0;24.788847606572073;10.513819032258064;14.328251868131867;
6925;9;2601;0;20;12250;2537;1923;0.0;7.42;0.04;8.08;0.00;0.0;0.04;25.37;0.03;25.86;29.51;2.66;24.84;33.83;0.13;2078.0;1905.0;1184.0;1872.0;7072.0;545.0;5554.0;0;1055.0;15.807;14226.0;0.62;0.42;0.0;0.0457072244886837;33.831902736389225;10.513819032258064;14.328251868131867;
13846;19;2729;0;134;11507;2534;1921;5.0;14.83;0.09;8.48;0.01;0.0;0.28;23.84;0.06;27.13;27.69;7.91;24.81;31.78;0.48;2075.0;1904.0;1112.0;1478.0;6631.0;678.0;5595.0;8;2099.0;13.437;15008.0;0.68;0.41;5.814450280824215E-4;0.3075275211458993;31.780607947809234;10.501386451612904;14.313349890109889;
5565;0;3003;0;1;10351;2537;1923;0.0;5.96;0.00;9.33;0.00;0.0;0.0;21.44;0.0;29.86;31.40;1.82;24.84;28.59;0.00;2078.0;1905.0;1000.0;2035.0;7040.0;496.0;5684.0;0;842.0;16.730;14062.0;0.62;0.43;0.0;0.001229572124024381;28.58608877493508;10.513819032258064;14.328251868131867;
5611;1;2611;0;0;12234;2537;1923;0.0;6.01;0.00;8.11;0.00;0.0;0.0;25.34;0.0;25.96;30.19;1.87;24.84;33.79;0.01;2078.0;1905.0;1182.0;1956.0;7143.0;518.0;5556.0;0;856.0;16.292;14073.0;0.61;0.42;0.0;0.0;33.78795299547257;10.513819032258064;14.328251868131867;
5570;1;2608;0;0;12246;2537;1923;0.0;5.97;0.00;8.10;0.00;0.0;0.0;25.37;0.0;25.93;30.20;1.85;24.84;33.82;0.00;2078.0;1905.0;1183.0;1958.0;7146.0;517.0;5555.0;0;850.0;16.305;14068.0;0.61;0.42;0.0;0.0;33.82054435042936;10.513819032258064;14.328251868131867;
5834;6;2611;0;1;12225;2537;1923;0.0;6.25;0.03;8.11;0.00;0.0;0.0;25.32;0.02;25.96;30.05;2.00;24.84;33.76;0.06;2078.0;1905.0;1181.0;1941.0;7132.0;523.0;5556.0;0;891.0;16.212;14102.0;0.61;0.42;0.0;0.0033934482548071843;33.76099961545963;10.513819032258064;14.328251868131867;
7825;15;2614;0;1;12195;2537;1923;0.0;8.38;0.06;8.12;0.00;0.0;0.0;25.26;0.05;25.99;29.15;3.26;24.84;33.68;0.13;2078.0;1905.0;1178.0;1819.0;7014.0;563.0;5556.0;0;1192.0;15.482;14325.0;0.62;0.41;6.411471321278302E-4;0.0019888293061075036;33.67856117238509;10.513819032258064;14.328251868131867;
5565;0;3006;0;0;10336;2537;1923;0.0;5.96;0.00;9.34;0.00;0.0;0.0;21.41;0.0;29.89;31.41;1.82;24.84;28.54;0.00;2078.0;1905.0;999.0;2036.0;7039.0;496.0;5685.0;0;843.0;16.733;14063.0;0.62;0.43;0.0;0.0;28.544296532682676;10.513819032258064;14.328251868131867;
5565;0;2792;0;3;11360;2537;1923;0.0;5.96;0.00;8.68;0.00;0.0;0.01;23.53;0.0;27.76;30.76;1.83;24.84;31.37;0.01;2078.0;1905.0;1098.0;1994.0;7097.0;507.0;5615.0;0;845.0;16.505;14064.0;0.62;0.43;1.1288386261375263E-4;0.006327956416507164;31.372157428231684;10.513819032258064;14.328251868131867;
5565;1;3406;0;0;8418;2537;1923;0.0;5.96;0.00;10.58;0.00;0.0;0.0;17.44;0.0;33.86;32.62;1.79;24.84;23.25;0.01;2078.0;1905.0;814.0;2113.0;6932.0;475.0;5817.0;0;836.0;17.162;14060.0;0.63;0.44;0.0;0.0;23.248963509264982;10.513819032258064;14.328251868131867;
5565;1;3295;0;0;8949;2537;1923;0.0;5.96;0.00;10.24;0.00;0.0;0.0;18.54;0.0;32.76;32.29;1.80;24.84;24.72;0.00;2078.0;1905.0;865.0;2092.0;6962.0;481.0;5781.0;0;837.0;17.043;14061.0;0.63;0.44;0.0;1.7389129331923418E-4;24.715483524841442;10.513819032258064;14.328251868131867;
5565;1;2854;0;1;11063;2537;1923;0.0;5.96;0.00;8.87;0.00;0.0;0.0;22.91;0.0;28.38;30.95;1.83;24.84;30.55;0.01;2078.0;1905.0;1069.0;2006.0;7081.0;504.0;5635.0;0;845.0;16.571;14065.0;0.62;0.43;1.630151598354214E-4;0.0031709322851763092;30.55254286936084;10.513819032258064;14.328251868131867;
