PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
13676;888;2688;185;33;10318;137;104;4219.0;14.65;3.94;8.35;7.02;0.38;0.07;21.37;2.76;26.72;27.90;4.91;1.82;28.49;7.96;181.0;103.0;997.0;1663.0;3650.0;758.0;6326.0;7092;9397.0;10.037;24468.0;0.55;0.29;0.47784765100550003;0.0751739331324453;28.494620603440566;2.76;26.72;.57;.77;
8557;2863;1794;209;202;11450;986;747;2727.0;9.17;12.71;5.57;4.54;0.43;0.42;23.72;8.89;17.84;17.93;3.48;10.20;31.62;25.88;886.0;742.0;1107.0;1098.0;6079.0;887.0;5768.0;4584;6678.0;12.948;22215.0;0.39;0.41;0.5412224267270601;0.46563083648752385;31.621987886244924;8.89;17.84;4.09;5.57;
7981;852;2654;36;156;10560;510;387;3563.0;8.55;3.78;8.24;5.93;0.07;0.32;21.87;2.65;26.38;29.72;1.66;5.08;29.16;7.92;431.0;383.0;1020.0;1944.0;4480.0;642.0;6200.0;5989;7430.0;12.634;22415.0;0.54;0.33;0.09260315125613784;0.3582474399542622;29.16374646435344;2.65;26.38;2.11;2.88;
11027;787;2406;75;296;11667;2393;1814;253.0;11.81;3.49;7.48;0.42;0.16;0.61;24.17;2.45;23.92;24.50;5.69;23.63;32.22;7.67;1989.0;1798.0;1127.0;1396.0;6992.0;710.0;5532.0;425;2300.0;14.259;15794.0;0.58;0.43;0.19493944035728392;0.6806599511871273;32.22137584845556;2.45;23.92;9.92;13.52;
8950;1472;2174;113;512;11500;575;436;3449.0;9.59;6.53;6.75;5.74;0.23;1.06;23.82;4.57;21.61;25.06;2.47;5.92;31.76;14.25;514.0;431.0;1111.0;1608.0;4911.0;745.0;6021.0;5798;7543.0;12.257;22765.0;0.49;0.35;0.2914205039199167;1.178481085390839;31.759201959048738;4.57;21.61;2.38;3.25;
6914;1246;2642;106;220;9889;2186;1657;617.0;7.41;5.53;8.21;1.03;0.22;0.46;20.48;3.87;26.27;25.06;2.54;21.68;27.31;11.57;1831.0;1643.0;956.0;1599.0;7044.0;659.0;5676.0;1037;2421.0;15.823;16434.0;0.52;0.45;0.27348585835703476;0.5059982976149345;27.310402627068424;3.87;26.27;9.06;12.35;
7011;1094;2324;92;393;11485;2465;1869;126.0;7.51;4.85;7.22;0.21;0.19;0.81;23.79;3.4;23.11;24.20;2.91;24.39;31.72;10.61;2054.0;1853.0;1110.0;1524.0;7476.0;663.0;5484.0;212;1564.0;15.912;15317.0;0.53;0.45;0.23770672461855924;0.9039736285900977;31.719722568809843;3.4;23.11;10.22;13.93;
10879;2989;1673;76;18;12160;962;729;2769.0;11.65;13.26;5.20;4.61;0.16;0.04;25.19;9.29;16.63;16.38;5.27;9.62;33.58;26.57;816.0;723.0;1175.0;904.0;5925.0;951.0;5735.0;4655;7151.0;11.779;22608.0;0.4;0.4;0.19618719297774165;0.0409237468262157;33.58191549718219;9.29;16.63;3.99;5.43;
13306;188;2544;82;511;11681;318;241;3901.0;14.25;0.84;7.90;6.49;0.17;1.06;24.2;0.58;25.29;30.22;4.70;3.33;32.26;2.85;292.0;239.0;1129.0;1820.0;3746.0;693.0;6223.0;6558;8592.0;10.263;23264.0;0.6;0.28;0.21208701055570803;1.1765665024496617;32.26078492587836;0.58;25.29;1.32;1.8;
8465;3870;1433;15;416;11654;283;215;3962.0;9.07;17.18;4.45;6.59;0.03;0.86;24.14;12.02;14.25;15.22;4.20;2.81;32.18;35.31;237.0;212.0;1126.0;877.0;5511.0;998.0;5868.0;6660;9026.0;11.746;25476.0;0.35;0.41;0.037838026605860324;0.9566084072076226;32.18473078856878;12.02;14.25;1.17;1.6;
6522;3463;1836;34;79;10646;224;169;4067.0;6.99;15.37;5.71;6.77;0.07;0.16;22.05;10.76;18.26;18.57;2.24;2.28;29.40;30.92;196.0;169.0;1029.0;1197.0;5270.0;900.0;6019.0;6837;8807.0;12.546;25177.0;0.37;0.4;0.08835816517813928;0.1818893613512377;29.40033487723741;10.76;18.26;.93;1.26;
9379;5135;1922;75;144;7622;25;19;4416.0;10.05;22.79;5.97;7.35;0.15;0.3;15.79;15.95;19.1;13.04;6.34;0.43;21.05;45.91;48.0;18.0;737.0;611.0;5384.0;1109.0;6109.0;7423;10301.0;11.797;27442.0;0.34;0.45;0.19357396938212165;0.3325227902901155;21.05053754304341;15.95;19.1;.1;.14;
13415;3485;1723;21;49;11201;1275;967;2218.0;14.37;15.47;5.35;3.69;0.04;0.1;23.2;10.83;17.13;13.69;8.27;12.55;30.93;31.05;1054.0;957.0;1082.0;567.0;6352.0;1046.0;5655.0;3728;6746.0;11.501;22079.0;0.41;0.44;0.05534694029848672;0.11171923359976803;30.933805107537367;10.83;17.13;5.28;7.21;
11724;2008;2005;6;2809;9317;571;432;3457.0;12.56;8.91;6.23;5.75;0.01;5.82;19.3;6.24;19.93;21.32;4.60;5.61;25.73;24.29;469.0;430.0;900.0;1259.0;5169.0;859.0;5966.0;5811;8010.0;12.202;23558.0;0.46;0.39;0.01664126489459244;6.464159184645735;25.73040937237742;6.24;19.93;2.37;3.22;
14612;4851;1132;32;89;11939;14;10;4436.0;15.65;21.53;3.52;7.38;0.07;0.18;24.73;15.07;11.25;10.94;11.01;0.21;32.97;43.26;22.0;11.0;1154.0;223.0;5152.0;1228.0;5851.0;7457;11044.0;8.863;27835.0;0.4;0.42;0.08181289271673768;0.20428887307067423;32.971530596810226;15.07;11.25;.06;.07;
6777;2594;1824;139;88;11892;2306;1748;406.0;7.26;11.52;5.67;0.68;0.29;0.18;24.63;8.06;18.14;17.28;3.49;22.94;32.84;23.23;1940.0;1733.0;1149.0;1052.0;7894.0;824.0;5369.0;682;2442.0;15.521;16946.0;0.41;0.49;0.36005281404733447;0.2027854299276196;32.84236368727671;8.06;18.14;9.56;13.02;
14612;3964;1410;13;111;11928;2391;1813;256.0;15.65;17.59;4.38;0.43;0.03;0.23;24.71;12.31;14.02;10.25;12.47;23.45;32.94;35.44;1964.0;1797.0;1153.0;103.0;8086.0;1131.0;5204.0;430;3764.0;12.623;18448.0;0.46;0.53;0.033055903973481446;0.2556867416366276;32.94188516360611;12.31;14.02;9.91;13.51;
11443;2801;1881;8;84;11445;1101;834;2525.0;12.26;12.43;5.84;4.20;0.02;0.17;23.71;8.7;18.7;17.19;5.61;10.79;31.61;25.05;904.0;827.0;1106.0;938.0;5950.0;934.0;5762.0;4245;6769.0;11.941;22011.0;0.42;0.41;0.02122230570710148;0.19285180504273453;31.607974090575635;8.7;18.7;4.56;6.21;
14537;2748;1813;23;165;11756;2522;1912;26.0;15.57;12.20;5.63;0.04;0.05;0.34;24.35;8.54;18.02;14.54;10.42;24.76;32.47;24.77;2075.0;1895.0;1136.0;501.0;7759.0;995.0;5296.0;44;3016.0;12.978;17093.0;0.5;0.49;0.060754163598639235;0.3798596942048621;32.46617422951401;8.54;18.02;10.45;14.25;
7939;3079;1673;71;768;11280;2423;1837;200.0;8.51;13.67;5.20;0.33;0.15;1.59;23.36;9.57;16.63;14.56;4.98;23.91;31.15;29.10;2012.0;1820.0;1090.0;797.0;8243.0;901.0;5283.0;336;2376.0;15.521;17009.0;0.39;0.52;0.18383252146395723;1.7678502144562627;31.15167247243328;9.57;16.63;10.04;13.69;
