PV_C HP_Heat_P AnlPV_P AnlImport AnlExport AnlOilBoilerHeat AnlOilBoilerFuel AnlNgasBoilerHeat AnlNgasBoilerFuel AnlBiomassBoilerHeat AnlBiomassBoilerFuel AnlOilCost AnlLPGCost AnlBiomassCost AnlElecExchage TotalVariableCost FixedOperationalCost AdditionalCost InvestmentCost CO2Emission AnnualCost
(KW) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (Mt) (KEuro)
5493 10.492578882714579 9.24 4.12 9.79 0 0 0.01742111728542106 0.01935679698380118 15.54 22.2 0.0 5.0 1199.0 -237.0 1018.0 667.0 2064.0 481.41798214835654 -3.188 4230.417982148357 
12661 10.54538647913711 21.30 2.33 20.04 0 0 0 0 15.504613520862888 22.149447886946984 0.0 0.0 1196.0 -838.0 409.0 846.0 2065.0 2309.3512105979657 -9.975 5629.351210597966 
14214 10.541442098584879 23.91 2.03 22.36 0 0 0 0 15.508557901415118 22.155082716307312 0.0 0.0 1196.0 -936.0 312.0 885.0 2065.0 2704.1286478099346 -11.447 5966.128647809935 
10180 10.50838592215903 17.13 2.86 16.41 0 0 0.0016140778409692302 0.0017934198232991447 15.54 22.2 0.0 0.0 1199.0 -663.0 588.0 784.0 2065.0 1676.001073506286 -7.630 5113.001073506286 
13321 10.536921277784653 22.41 2.20 21.02 0 0 0 0 15.513078722215344 22.161541031736206 0.0 0.0 1197.0 -881.0 367.0 863.0 2065.0 2477.036670622024 -10.602 5772.036670622024 
12489 10.541183851853976 21.01 2.36 19.79 0 0 0 0 15.508816148146021 22.155451640208604 0.0 0.0 1196.0 -827.0 421.0 842.0 2065.0 2265.1286478099346 -9.813 5593.128647809935 
11057 10.539940255962362 18.60 2.67 17.68 0 0 0 0 15.510059744037635 22.157228205768053 0.0 0.0 1196.0 -728.0 520.0 806.0 2065.0 1901.0826592159792 -8.456 5292.082659215979 
12256 10.500565938619355 20.62 2.41 19.45 0 0 0.009434061380645176 0.010482290422939083 15.54 22.2 0.0 3.0 1199.0 -812.0 441.0 836.0 2065.0 2204.6865335303432 -9.597 5546.686533530343 
8410 10.54147083485081 14.15 3.30 13.86 0 0 0 0 15.508529165149188 22.155041664498842 0.0 0.0 1196.0 -514.0 733.0 740.0 2065.0 1227.1286478099346 -5.947 4765.128647809935 
9005 10.538346560071473 15.15 3.15 14.71 0 0 0 0 15.511653439928525 22.159504914183607 0.0 0.0 1197.0 -566.0 681.0 755.0 2065.0 1378.0366706220238 -6.512 4879.036670622024 
12339 10.531654310141327 20.76 2.39 19.57 0 0 0 0 15.51834568985867 22.16906527122667 0.0 0.0 1197.0 -817.0 431.0 838.0 2065.0 2226.768119240037 -9.672 5560.768119240037 
12560 10.531654310141327 21.13 2.35 19.89 0 0 0 0 15.51834568985867 22.16906527122667 0.0 0.0 1197.0 -832.0 417.0 844.0 2065.0 2282.768119240037 -9.882 5608.768119240037 
5617 10.582836416206938 9.45 4.10 9.95 0 0 0 0 15.46716358379306 22.095947976847228 0.0 0.0 1193.0 -247.0 998.0 670.0 2066.0 517.5247734955693 -3.293 4251.524773495569 
14663 10.518112156044051 24.67 1.95 23.04 0 0 0 0 15.531887843955946 22.188411205651352 0.0 0.0 1198.0 -963.0 286.0 897.0 2065.0 2818.3616020761838 -11.877 6066.361602076184 
6016 10.544807628199171 10.12 3.97 10.50 0 0 0 0 15.505192371800826 22.150274816858325 0.0 0.0 1196.0 -287.0 961.0 680.0 2065.0 617.3052220040106 -3.678 4323.305222004011 
8908 10.543883702965028 14.99 3.17 14.57 0 0 0 0 15.50611629703497 22.15159471004996 0.0 0.0 1196.0 -558.0 689.0 752.0 2065.0 1353.17463640389 -6.419 4859.17463640389 
11332 10.546980254255825 19.07 2.61 18.08 0 0 0 0 15.503019745744172 22.147171065348818 0.0 0.0 1196.0 -747.0 500.0 813.0 2066.0 1971.351210597966 -8.715 5350.351210597966 
7127 10.53676620449498 11.99 3.65 12.05 0 0 0 0 15.513233795505018 22.16176256500717 0.0 0.0 1197.0 -395.0 853.0 708.0 2065.0 899.9906820280684 -4.732 4525.9906820280685 
12798 10.67615094627914 21.53 2.33 20.23 0 0 0 0 15.373849053720857 21.96264150531551 0.0 0.0 1186.0 -845.0 393.0 849.0 2069.0 2349.723542030693 -10.082 5660.723542030693 
7708 10.53676620449498 12.97 3.49 12.87 0 0 0 0 15.513233795505018 22.16176256500717 0.0 0.0 1197.0 -450.0 798.0 722.0 2065.0 1047.9906820280685 -5.283 4632.9906820280685 
9336 10.577512888679093 15.71 3.08 15.18 0 0 0 0 15.472487111320904 22.10355301617272 0.0 0.0 1194.0 -594.0 651.0 763.0 2067.0 1464.4327963076585 -6.819 4945.4327963076585 
13036 10.523140714635188 21.93 2.25 20.60 0 0 0 0 15.526859285364809 22.181227550521157 0.0 0.0 1198.0 -863.0 386.0 856.0 2065.0 2403.4535792640945 -10.334 5710.4535792640945 
14646 10.977363603676158 24.64 2.02 22.94 0 0 0 0 15.072636396323839 21.532337709034056 0.0 0.0 1163.0 -954.0 260.0 895.0 2077.0 2833.125501782024 -11.780 6065.125501782024 
13145 10.67615094627914 22.12 2.26 20.74 0 0 0 0 15.373849053720857 21.96264150531551 0.0 0.0 1186.0 -867.0 370.0 858.0 2070.0 2437.723542030693 -10.411 5735.723542030693 
12870 10.53525739713909 21.65 2.29 20.35 0 0 0 0 15.514742602860908 22.163918004087012 0.0 0.0 1197.0 -852.0 396.0 852.0 2065.0 2361.9906820280685 -10.175 5674.9906820280685 
13036 10.523140714635188 21.93 2.25 20.60 0 0 0 0 15.526859285364809 22.181227550521157 0.0 0.0 1198.0 -863.0 386.0 856.0 2065.0 2403.4535792640945 -10.334 5710.4535792640945 
10512 10.5398507947342 17.69 2.79 16.89 0 0 0 0 15.510149205265797 22.15735600752257 0.0 0.0 1196.0 -688.0 560.0 793.0 2065.0 1762.0826592159792 -7.940 5180.082659215979 
9106 10.541453501338735 15.32 3.13 14.86 0 0 0 0 15.508546498661262 22.155066426658948 0.0 0.0 1196.0 -575.0 673.0 757.0 2065.0 1404.1286478099346 -6.607 4899.128647809935 
12870 10.53525739713909 21.65 2.29 20.35 0 0 0 0 15.514742602860908 22.163918004087012 0.0 0.0 1197.0 -852.0 396.0 852.0 2065.0 2361.9906820280685 -10.175 5674.9906820280685 
7784 10.541089023472301 13.10 3.47 12.97 0 0 0 0 15.508910976527696 22.155587109325282 0.0 0.0 1196.0 -457.0 790.0 724.0 2066.0 1067.0826592159792 -5.354 4647.082659215979 
14054 10.537421588148316 23.65 2.06 22.12 0 0 0 0 15.512578411851681 22.160826302645262 0.0 0.0 1197.0 -926.0 322.0 881.0 2065.0 2664.036670622024 -11.297 5932.036670622024 
14555 10.542060170793567 24.49 1.97 22.87 0 0 0 0 15.50793982920643 22.154199756009188 0.0 0.0 1196.0 -956.0 291.0 894.0 2065.0 2791.1286478099346 -11.771 6041.128647809935 
9184 10.5411147144155 15.45 3.11 14.97 0 0 0 0 15.508885285584498 22.155550407977856 0.0 0.0 1196.0 -582.0 666.0 759.0 2065.0 1424.1286478099346 -6.681 4914.128647809935 
8652 10.540668079311793 14.56 3.24 14.21 0 0 0 0 15.509331920688204 22.156188458126007 0.0 0.0 1196.0 -536.0 712.0 746.0 2065.0 1288.0826592159792 -6.177 4811.082659215979 
11118 10.5398507947342 18.71 2.65 17.77 0 0 0 0 15.510149205265797 22.15735600752257 0.0 0.0 1196.0 -732.0 516.0 808.0 2065.0 1916.0826592159792 -8.514 5305.082659215979 
11118 10.5398507947342 18.71 2.65 17.77 0 0 0 0 15.510149205265797 22.15735600752257 0.0 0.0 1196.0 -732.0 516.0 808.0 2065.0 1916.0826592159792 -8.514 5305.082659215979 
8652 10.540668079311793 14.56 3.24 14.21 0 0 0 0 15.509331920688204 22.156188458126007 0.0 0.0 1196.0 -536.0 712.0 746.0 2065.0 1288.0826592159792 -6.177 4811.082659215979 
8869 10.500758654327534 14.92 3.18 14.52 0 0 0.00924134567246604 0.010268161858295599 15.54 22.2 0.0 2.0 1199.0 -555.0 697.0 752.0 2065.0 1341.7325221242993 -6.387 4855.732522124299 
13101 10.541822570099619 22.04 2.24 20.70 0 0 0 0 15.508177429900378 22.15453918557197 0.0 0.0 1196.0 -867.0 381.0 857.0 2065.0 2421.1286478099346 -10.393 5724.128647809935 
11977 10.536805999925065 20.15 2.47 19.03 0 0 0 0 15.513194000074932 22.161705714392763 0.0 0.0 1197.0 -792.0 456.0 829.0 2065.0 2134.9906820280685 -9.328 5484.9906820280685 
5328 10.508623209900861 8.96 4.18 9.56 0 0 0.0013767900991386028 0.0015297667768206698 15.54 22.2 0.0 0.0 1199.0 -220.0 1030.0 663.0 2065.0 440.00107350628605 -3.032 4198.001073506286 
5328 10.508623209900861 8.96 4.18 9.56 0 0 0.0013767900991386028 0.0015297667768206698 15.54 22.2 0.0 0.0 1199.0 -220.0 1030.0 663.0 2065.0 440.00107350628605 -3.032 4198.001073506286 
6799 10.51277523955929 11.44 3.73 11.59 0 0 0 0 15.537224760440708 22.196035372058155 0.0 0.0 1199.0 -364.0 886.0 700.0 2065.0 815.0930506941968 -4.426 4466.093050694197 
13937 10.51234733293365 23.45 2.08 21.95 0 0 0 0 15.537652667066347 22.19664666723764 0.0 0.0 1199.0 -920.0 330.0 878.0 2065.0 2633.093050694197 -11.190 5906.093050694197 
12124 10.5825379092153 20.40 2.45 19.24 0 0 0 0 15.467462090784696 22.09637441540671 0.0 0.0 1193.0 -801.0 443.0 833.0 2067.0 2174.524773495569 -9.460 5517.524773495569 
10836 10.51405254296028 18.23 2.71 17.36 0 0 0 0 15.535947457039716 22.19421065291388 0.0 0.0 1198.0 -712.0 538.0 801.0 2065.0 1843.2696248882728 -8.251 5247.269624888273 
11921 10.512591207085402 20.06 2.48 18.95 0 0 0 0 15.537408792914595 22.19629827559228 0.0 0.0 1199.0 -789.0 461.0 828.0 2065.0 2119.093050694197 -9.280 5473.093050694197 
8764 10.517139037166503 14.75 3.21 14.37 0 0 0 0 15.532860962833494 22.18980137547642 0.0 0.0 1198.0 -546.0 704.0 749.0 2065.0 1315.3156134822282 -6.287 4833.315613482228 
14418 10.504610079345639 24.26 1.99 22.67 0 0 0.005389920654360836 0.005988800727067595 15.54 22.2 0.0 1.0 1199.0 -949.0 303.0 891.0 2065.0 2754.9090963183753 -11.646 6013.909096318375 
10545 10.51221184981784 17.74 2.78 16.94 0 0 0 0 15.537788150182157 22.19684021454594 0.0 0.0 1199.0 -691.0 559.0 793.0 2065.0 1769.0930506941968 -7.976 5186.093050694197 
