CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
58 0 153 1493 821 533 190 0.07 0.10 0.00 0.00 0.85 1.93 0.06 0.09 0.00 1.27 -0.554 5118 
56 0 241 1453 510 404 190 0.07 0.10 0.00 0.01 1.05 1.65 0.07 0.12 0.00 1.24 -0.538 4716 
1 55 246 329 327 1 3 0.06 0.09 0.48 0.16 0.68 1.24 0.00 0.00 0.00 0.75 -0.256 3451 
54 4 261 1047 526 106 175 0.07 0.10 0.09 0.01 0.93 1.66 0.03 0.11 0.00 1.16 -0.502 4313 
1 43 163 510 291 0 36 0.06 0.09 0.48 0.11 0.95 1.11 0.00 0.00 0.00 0.84 -0.320 3545 
0 54 294 40 62 15 17 0.00 0.00 0.53 1.09 0.10 0.24 0.01 0.00 0.00 0.00 0.474 2933 
1 55 275 344 327 1 1 0.06 0.09 0.48 0.16 0.70 1.24 0.00 0.00 0.00 0.76 -0.265 3462 
62 0 301 1498 770 549 190 0.07 0.10 0.00 0.00 0.87 1.90 0.06 0.09 0.00 1.27 -0.553 5079 
0 55 355 0 242 3 14 0.00 0.00 0.53 0.68 0.00 0.93 0.00 0.00 0.00 0.17 0.221 3088 
1 47 403 98 356 6 30 0.06 0.09 0.48 0.31 0.24 1.35 0.00 0.00 0.00 0.58 -0.115 3315 
1 47 397 102 345 10 30 0.06 0.09 0.48 0.32 0.25 1.32 0.01 0.00 0.00 0.56 -0.105 3308 
0 45 798 18 356 6 38 0.00 0.00 0.53 0.50 0.05 1.36 0.00 0.00 0.00 0.47 0.010 3221 
0 50 265 7 115 7 32 0.00 0.00 0.53 0.98 0.02 0.44 0.00 0.00 0.00 0.01 0.424 2961 
1 5 263 1498 507 328 168 0.06 0.09 0.11 0.01 1.04 1.62 0.06 0.09 0.00 1.23 -0.532 4648 
