PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
60014;4903;1709;374;289;8546;22;17;4421.0;64.29;21.76;5.31;7.35;0.77;0.6;17.7;15.23;16.99;10.83;59.65;1.19;23.60;44.19;159.0;16.0;826.0;-2557.0;2266.0;2112.0;5864.0;7432;17822.0;-7.516;32609.0;1.2772743747734685;0.4365309559336801;0.9679837325215551;0.6660799626471975;23.60282934444909;15.23;16.99;.09;.13;
52663;2578;2206;68;421;9824;2495;1891;74.0;56.42;11.44;6.85;0.12;0.14;0.87;20.35;8.01;21.93;12.47;48.79;24.61;27.13;23.86;2069.0;1875.0;949.0;-1775.0;5191.0;1722.0;5259.0;124;8759.0;-1.205;21007.0;1.2378258233986663;0.47297428478751335;0.17679776113816423;0.9681637883344096;27.130200046355146;8.01;21.93;10.34;14.09;
35502;576;2328;55;557;12119;347;263;3850.0;38.03;2.56;7.23;6.40;0.11;1.15;25.1;1.79;23.14;26.69;29.07;3.54;33.47;6.39;305.0;261.0;1171.0;190.0;2499.0;1185.0;5968.0;6472;11955.0;1.412;25565.0;0.9930543187889581;0.45847342724955875;0.14297447683596046;1.2817916050045728;33.47024487116048;1.79;23.14;1.44;1.96;
50704;2418;2071;49;1279;9872;2332;1768;360.0;54.32;10.73;6.43;0.60;0.1;2.65;20.45;7.51;20.59;13.14;46.58;22.96;27.26;24.41;1928.0;1751.0;954.0;-1612.0;5142.0;1675.0;5267.0;605;8857.0;-0.536;21311.0;1.2052472250252269;0.47897907911233917;0.12617689245699912;2.943019618225954;27.26360400664605;7.51;20.59;9.66;13.17;
32421;5155;1630;6;100;9104;80;61;4319.0;34.73;22.88;5.07;7.18;0.01;0.21;18.86;16.02;16.21;10.58;31.37;0.79;25.14;45.99;67.0;60.0;880.0;-990.0;3993.0;1587.0;5820.0;7260;13603.0;2.421;29443.0;0.7659302537885704;0.4262934853190532;0.014647919157770646;0.22936338503688267;25.143780771836173;16.02;16.21;.33;.45;
38432;3577;1845;63;983;9500;2526;1915;19.0;41.17;15.88;5.73;0.03;0.13;2.04;19.68;11.11;18.34;9.20;35.92;24.90;26.24;34.02;2093.0;1898.0;918.0;-1271.0;6585.0;1549.0;5131.0;32;6784.0;4.260;20069.0;0.9345484672742337;0.4778286976470874;0.16207663858458085;2.262866766027247;26.23638731831757;11.11;18.34;10.47;14.27;
26602;3622;1722;39;180;10850;2426;1839;195.0;28.50;16.08;5.35;0.32;0.08;0.37;22.47;11.25;17.12;9.62;23.95;23.85;29.97;32.57;2001.0;1822.0;1049.0;-579.0;7116.0;1323.0;5122.0;328;5359.0;7.961;19120.0;0.6966175555094417;0.4613689590280084;0.10024852833050088;0.41458793039641134;29.965747160778907;11.25;17.12;10.05;13.7;
31729;2144;1869;19;665;11895;158;120;4182.0;33.99;9.52;5.81;6.96;0.04;1.38;24.64;6.66;18.58;20.42;26.59;1.59;32.85;20.57;136.0;118.0;1150.0;-77.0;3117.0;1280.0;5876.0;7030;12390.0;2.484;26962.0;0.850244167118828;0.43625777956082445;0.05021803000790929;1.5298702636480346;32.8520948948927;6.66;18.58;.65;.89;
8758;2894;1282;48;2260;11964;2525;1914;21.0;9.38;12.85;3.98;0.03;0.1;4.68;24.78;8.99;12.75;12.69;6.33;24.84;33.04;30.89;2086.0;1896.0;1156.0;597.0;8414.0;920.0;4946.0;35;2076.0;15.021;16378.0;0.4087685364281109;0.490542811551198;0.12373587612328778;5.20171377434435;33.042323072153856;8.99;12.75;10.46;14.26;
48601;4805;1769;10;48;9008;2052;1555;853.0;52.07;21.33;5.50;1.42;0.02;0.1;18.66;14.93;17.59;7.12;49.03;20.12;24.88;42.77;1684.0;1541.0;871.0;-2162.0;5633.0;1871.0;5254.0;1434;10112.0;-0.453;23747.0;1.135720064724919;0.46766091600096676;0.02633867768703414;0.11021919922575002;24.87893390133816;14.93;17.59;8.5;11.59;
