PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
10284;4312;1107;58;867;12061;2116;1604;740.0;11.02;19.14;3.44;1.23;0.12;1.8;24.98;13.4;11.01;10.16;9.42;20.87;33.31;40.27;1754.0;1590.0;1166.0;251.0;8246.0;1093.0;5191.0;1244;3988.0;13.951;19279.0;0.4;0.55;0.14916120904742505;1.9959094212258446;33.30866999678346;13.4;11.01;8.77;11.95;
8177;2962;1762;128;1771;9968;637;483;3340.0;8.76;13.15;5.47;5.56;0.27;3.67;20.65;9.2;17.51;19.85;4.51;6.57;27.53;30.37;570.0;479.0;963.0;1122.0;5768.0;890.0;5866.0;5615;7600.0;13.218;23557.0;0.44;0.43;0.3318134970283674;4.075528305825231;27.530367444934612;9.2;17.51;2.64;3.6;
5646;3116;1552;22;1045;11576;2013;1525;922.0;6.05;13.83;4.82;1.53;0.05;2.16;23.98;9.68;15.43;15.94;3.24;19.76;31.97;30.07;1656.0;1512.0;1119.0;966.0;7860.0;865.0;5370.0;1550;3246.0;15.704;18289.0;0.38;0.5;0.058189271422173734;2.405383694461957;31.96952563905791;9.68;15.43;8.34;11.36;
6051;42;2501;230;1211;11260;2525;1914;21.0;6.48;0.19;7.77;0.03;0.48;2.51;23.32;0.13;24.86;29.49;2.14;25.31;31.10;3.16;2154.0;1896.0;1088.0;1898.0;7330.0;536.0;5523.0;35;895.0;16.729;14306.0;0.61;0.44;0.5944213179809577;2.787097446410143;31.09630336424256;0.13;24.86;10.46;14.26;
13733;4492;1049;147;731;12117;1109;841;2510.0;14.71;19.94;3.26;4.18;0.3;1.51;25.1;13.96;10.43;11.00;12.00;11.25;33.46;41.56;964.0;834.0;1171.0;146.0;6711.0;1182.0;5484.0;4219;7536.0;11.092;23493.0;0.45;0.49;0.38076866410581806;1.6820912846194451;33.46402757950467;13.96;10.43;4.6;6.27;
5721;345;2527;27;288;11807;808;612;3040.0;6.13;1.53;7.85;5.06;0.06;0.6;24.46;1.07;25.12;33.41;1.94;7.98;32.61;3.72;671.0;607.0;1141.0;2119.0;4881.0;556.0;6066.0;5110;6064.0;13.713;20692.0;0.62;0.35;0.06974565967523849;0.6624062706265504;32.60669849496278;1.07;25.12;3.35;4.56;
11012;2051;1881;6;809;11846;480;364;3616.0;11.80;9.10;5.84;6.02;0.01;1.68;24.54;6.37;18.7;23.53;6.35;4.71;32.72;20.07;395.0;361.0;1145.0;1254.0;4902.0;856.0;5954.0;6078;8290.0;11.262;23719.0;0.53;0.37;0.014330116360869232;1.8622140915713428;32.716127856778556;6.37;18.7;1.99;2.71;
10990;2388;1885;2;813;11325;2383;1807;270.0;11.77;10.60;5.86;0.45;0.0;1.68;23.46;7.42;18.74;17.01;6.86;23.34;31.28;23.07;1952.0;1791.0;1094.0;851.0;7695.0;886.0;5363.0;454;2757.0;14.338;16979.0;0.47;0.49;0.0044427102963546525;1.8710028969620225;31.27674721605125;7.42;18.74;9.88;13.46;
7343;940;2226;411;427;11835;255;194;4011.0;7.87;4.17;6.92;6.67;0.85;0.89;24.51;2.92;22.13;30.85;3.08;3.57;32.68;9.33;365.0;192.0;1144.0;1888.0;4412.0;660.0;6138.0;6742;8085.0;12.425;23418.0;0.59;0.33;1.064683653170344;0.9834709248607003;32.68479411245339;2.92;22.13;1.06;1.45;
14592;1545;2463;143;85;10399;962;729;2769.0;15.63;6.86;7.65;4.61;0.3;0.18;21.54;4.8;24.49;25.06;9.07;9.79;28.72;13.91;841.0;723.0;1005.0;1214.0;5001.0;849.0;5997.0;4655;7284.0;10.926;21977.0;0.6;0.37;0.3700000634645877;0.1960826995715375;28.720268744838354;4.8;24.49;3.99;5.43;
