CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
39 0 84 1490 756 358 196 0.01 0.01 0.00 0.01 0.93 1.95 0.05 0.11 0.00 1.25 -0.545 4929 
50 0 84 1499 597 402 196 0.01 0.02 0.00 0.00 1.03 1.80 0.06 0.12 0.00 1.24 -0.540 4802 
0 47 251 1 340 2 29 0.00 0.00 0.52 0.55 0.00 1.30 0.00 0.00 0.00 0.42 0.055 3190 
4 56 224 361 303 6 0 0.01 0.01 0.52 0.19 0.78 1.16 0.00 0.00 0.00 0.71 -0.227 3422 
43 0 84 1482 448 358 196 0.01 0.02 0.00 0.01 1.20 1.58 0.07 0.15 0.00 1.22 -0.528 4614 
19 48 192 607 326 179 27 0.01 0.02 0.51 0.06 0.96 1.23 0.09 0.00 0.00 0.94 -0.382 3716 
0 59 244 61 153 4 0 0.00 0.00 0.52 0.75 0.15 0.59 0.00 0.00 0.00 0.06 0.301 3039 
58 0 83 1491 1382 661 196 0.01 0.01 0.00 0.00 0.70 2.25 0.06 0.08 0.00 1.29 -0.563 5721 
0 47 241 56 323 1 27 0.00 0.00 0.52 0.49 0.14 1.24 0.00 0.00 0.00 0.44 0.023 3212 
0 55 262 0 52 1 14 0.00 0.00 0.52 1.23 0.00 0.20 0.00 0.00 0.00 0.00 0.538 2887 
89 0 83 1489 893 379 196 0.01 0.02 0.00 0.00 0.85 2.04 0.05 0.10 0.00 1.26 -0.551 5124 
51 0 84 1499 685 344 196 0.01 0.02 0.00 0.00 0.97 1.89 0.05 0.11 0.00 1.25 -0.543 4870 
23 0 105 1138 428 241 196 0.01 0.01 0.00 0.02 1.14 1.54 0.07 0.18 0.00 1.16 -0.499 4281 
2 49 240 61 288 4 30 0.00 0.01 0.52 0.52 0.15 1.10 0.00 0.00 0.00 0.36 0.072 3185 
2 0 190 529 420 98 206 0.00 0.00 0.00 0.06 0.83 1.54 0.05 0.30 0.00 0.98 -0.399 3773 
0 43 252 3 136 1 57 0.00 0.00 0.52 0.92 0.01 0.52 0.00 0.01 0.00 0.01 0.394 2979 
82 0 110 723 338 242 200 0.03 0.04 0.00 0.01 1.11 1.28 0.11 0.26 0.00 1.03 -0.445 3974 
0 43 247 3 373 1 49 0.00 0.00 0.52 0.49 0.01 1.43 0.00 0.00 0.00 0.50 -0.002 3227 
0 56 259 4 127 2 10 0.00 0.00 0.52 0.94 0.01 0.49 0.00 0.00 0.00 0.01 0.408 2969 
7 63 193 475 389 70 0 0.01 0.01 0.52 0.09 0.77 1.42 0.04 0.00 0.00 0.89 -0.351 3628 
50 0 83 1496 1077 706 196 0.01 0.01 0.00 0.00 0.78 2.14 0.06 0.09 0.00 1.28 -0.558 5416 
66 0 90 1121 461 343 196 0.02 0.03 0.00 0.01 1.08 1.61 0.08 0.16 0.00 1.17 -0.509 4389 
