PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;LPG_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualLPGBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;LPGConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;LPGBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
24311;6766;1295;197;596;9737;2755;2088;13.0;29.73;4.74;4.03;0.02;0.41;1.24;20.21;21.06;12.9;3.50;31.03;27.49;53.27;1.37;2330.0;2070.0;2877.0;-883.0;6773.0;1565.0;2910.0;21.85;9154.488464666727;-8.276;20437.70480382386;1.1422428051604367;0.2621999712990288;0.5103104435608871;1.3741859269188532;26.943626369217597;21.06;12.9;11.42;15.56;
26698;6948;1151;147;62;10741;2731;2071;54.0;32.65;4.87;3.58;0.09;0.3;0.13;22.29;21.63;11.47;3.18;34.14;27.13;56.76;0.14;2293.0;2052.0;3065.0;-953.0;6542.0;1634.0;2869.0;90.77;9626.472284101734;-10.585;20817.755539062146;1.250251256281407;0.24629908549296287;0.3810541813731683;0.14232376721518453;29.72143869272043;21.63;11.47;11.32;15.43;
24804;5301;1304;143;1111;11435;1933;1466;1457.0;30.33;3.71;4.06;2.42;0.3;2.31;23.73;16.5;12.99;5.65;30.34;19.30;52.27;2.56;1637.0;1452.0;2822.0;-697.0;5878.0;1459.0;3166.0;2449.22;8355.484227675666;-8.550;22805.423162440762;1.1019595835884874;0.2545460156113622;0.3698338818889088;2.562651095935824;31.640030202887598;16.5;12.99;8.01;10.92;
8786;211;1168;860;48;20066;2755;2089;12.0;10.74;0.15;3.64;0.02;1.79;0.1;41.64;0.66;11.64;6.76;11.11;29.22;56.34;0.11;2581.0;2070.0;3043.0;-114.0;7657.0;745.0;2867.0;20.17;2894.1890343384684;5.198;14195.696424329672;0.5988605898123324;0.320487338665881;2.2319812487307313;0.11075974311684657;55.52266405634047;0.66;11.64;11.42;15.57;
6007;6168;1222;277;109;11394;2583;1959;314.0;7.35;4.32;3.80;0.52;0.57;0.23;23.65;19.2;12.17;4.48;8.94;26.02;55.53;0.25;2221.0;1940.0;2999.0;-151.0;7120.0;1155.0;2938.0;527.83;5729.849007085252;4.326;17793.45904518837;0.44;0.24562247304922716;0.718713364805047;0.25094338403807426;31.528419723965172;19.2;12.17;10.7;14.6;
34806;8986;1469;34;454;5881;1952;1480;1424.0;42.56;6.29;4.57;2.37;0.07;0.94;12.21;27.97;14.63;4.24;43.28;19.21;51.24;1.05;1612.0;1467.0;2767.0;-957.0;5190.0;1940.0;3215.0;2393.74;12279.266371250176;-17.105;26481.809983539464;1.434782608695652;0.21937550483769602;0.0873932397427954;1.0468955194251015;16.27433654824586;27.97;14.63;8.09;11.03;
29312;10576;1170;18;1726;3674;1032;783;3041.0;35.84;7.41;3.64;5.06;0.04;3.58;7.62;32.92;11.65;5.21;36.88;10.16;51.32;3.98;852.0;776.0;2771.0;-855.0;4547.0;1971.0;3403.0;5111.92;12252.515260848331;-14.663;30411.429674452073;1.2067087155963305;0.19123074678562457;0.04676799156715016;3.980971379706616;10.165097431093061;32.92;11.65;4.28;5.83;
30686;10446;1258;58;103;5029;1901;1441;1514.0;37.52;7.32;3.92;2.52;0.12;0.21;10.44;32.52;12.53;3.45;38.97;18.77;54.56;0.24;1579.0;1429.0;2946.0;-994.0;5068.0;1983.0;3163.0;2545.03;12424.064657339088;-15.375;26739.413694562387;1.3004291845493563;0.1940577415550788;0.15072102254585604;0.2374303836859645;13.916086452687908;32.52;12.53;7.88;10.74;
38296;1479;1452;39;1034;16635;2748;2083;25.0;46.83;1.04;4.52;0.04;0.08;2.15;34.52;4.6;14.47;5.85;46.27;27.01;51.78;2.38;2265.0;2065.0;2796.0;-835.0;6913.0;1421.0;2964.0;42.02;8455.549259214753;-15.579;19821.27298836309;1.6955107351984386;0.31603067911115396;0.10175507311719383;2.383972019971749;46.030986594919966;4.6;14.47;11.39;15.52;
36344;502;2064;76;342;15820;2760;2092;4.0;44.44;0.35;6.42;0.01;0.16;0.71;32.83;1.56;20.56;7.54;43.02;27.23;45.73;0.79;2289.0;2074.0;2469.0;-669.0;6403.0;1273.0;3162.0;6.72;7644.107561885491;-13.018;18492.943358549226;1.5504446488807115;0.334078316258482;0.19621679181056856;0.7888726368054767;43.77525727779218;1.56;20.56;11.44;15.59;
